CROP_NAME;ELEMENT;VERY_LOW;LOW;SLIGHTLY_LOW;NORMAL;HIGH;VERY_HIGH;VERY_LOW_COMMENTS;LOW_COMMENTS;SLIGHTLY_LOW_COMMENTS;NORMAL_COMMENTS;HIGH_COMMENTS;VERY_HIGH_COMMENTS;
POTATO (ATLANTIC) (299);P;0,13;0,14;0,20;0,27;0,45;0,46;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#One application required.  Continue to monitor crop with petiole analysis.;Continue to monitor crop with petiole analysis.####;Continue to monitor crop with petiole analysis.####;
POTATO (ATLANTIC) (299);S;0,13;0,14;0,20;0,27;0,45;0,46;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (257);MG;0,14;0,15;0,22;0,29;1,10;1,11;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (288);MG;0,14;0,15;0,22;0,29;1,50;1,51;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (299);MG;0,14;0,15;0,22;0,29;1,00;1,01;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (365);MG;0,14;0,15;0,22;0,29;1,50;1,51;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (257);P;0,14;0,15;0,22;0,29;0,60;0,61;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#One application required.  Continue to monitor crop with petiole analysis.;Continue to monitor crop with petiole analysis.####;Continue to monitor crop with petiole analysis.####;
POTATO (ATLANTIC) (288);P;0,14;0,15;0,22;0,29;0,60;0,61;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#One application required.  Continue to monitor crop with petiole analysis.;Continue to monitor crop with petiole analysis.####;Continue to monitor crop with petiole analysis.####;
POTATO (ATLANTIC) (257);S;0,14;0,15;0,22;0,29;0,60;0,61;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (288);S;0,14;0,15;0,22;0,29;0,60;0,61;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (245);MG;0,14;0,15;0,23;0,30;1,00;1,01;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (278);MG;0,14;0,15;0,23;0,30;1,00;1,01;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (356);MG;0,14;0,15;0,23;0,30;1,50;1,51;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (245);S;0,14;0,15;0,23;0,30;0,80;0,81;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (278);S;0,14;0,15;0,23;0,30;0,80;0,81;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (245);P;0,19;0,20;0,30;0,40;0,90;0,91;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#One application required.  Continue to monitor crop with petiole analysis.;Continue to monitor crop with petiole analysis.####;Continue to monitor crop with petiole analysis.####;
POTATO (ATLANTIC) (278);P;0,19;0,20;0,30;0,40;0,88;0,89;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#2 repeat applications at 10 to 14 day intervals.  Continue to monitor crop with petiole analysis.;When the petiole phosphorus level falls below 0.22, a yield loss of 600 lbs/acre/day (672 kg/ha/day) can occur.High leaf phosphorus levels stimulate manufacture of sugars, the main products of photosynthesis. Boosts bulking and increases the yield of tubers. Increases tuber dry matter content and starch levels. Improves storage potential of tubers and reduces storage diseases.#YaraVita HYDROPHOS#5L/ha#Water rate: 200L/ha#One application required.  Continue to monitor crop with petiole analysis.;Continue to monitor crop with petiole analysis.####;Continue to monitor crop with petiole analysis.####;
POTATO (ATLANTIC) (374);NO3N;0,29;0,30;0,44;0,59;99,99;100,00;####;####;####;####;####;####;
POTATO (ATLANTIC) (245);CA;0,29;0,30;0,45;0,60;1,20;1,21;####;####;####;####;####;####;
POTATO (ATLANTIC) (278);CA;0,29;0,30;0,45;0,60;1,20;1,21;Calcium deficiency causes internal browning and hollow tubers#YaraVita STOPIT#5L/ha#Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis#YaraVita BORTRAC##Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis;Calcium deficiency causes internal browning and hollow tubers#YaraVita STOPIT#5L/ha#Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis#YaraVita BORTRAC##Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis;Calcium deficiency causes internal browning and hollow tubers#YaraVita STOPIT#5L/ha#Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis#YaraVita BORTRAC##Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis;Apply maintenance levels for calcium#YaraVita STOPIT#5L/ha#Water rate: 200L/ha#2-3 Applications with 10-14 day intervals, following petiole analysis;High levels of calcium should not create prolems for potato####;Very high levels of calcium should not create problems for potato####;
POTATO (ATLANTIC) (365);NO3N;0,34;0,35;0,52;0,69;99,99;100,00;####;####;####;####;####;####;
